objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
morrow01,,,,Honey Witch,iPhone,2025-04-04,Fairyloot Special Edition ,books,"forest City, NC",46.725562,81.8651,Megan Morrow,pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Private (Since it is my books),
morrow02,,,,Sorcery of Thorns,iPhone,4-4-2025,Fairyloot Special Edition ,books,"Forest City, NC",35.334,81.8651,Megan Morrow,,Image;StillImage,image/jpeg,eng,Private (Since it is my books),
morrow03,,,,The Bone Smith,iPhone,2025-04-04,Fairyloot Special Edition ,books,"Forest City, NC",35.334,81.8651,Megan Morrow,,Image;StillImage,image/jpeg,eng,Private (Since it is my books),
morrow04,,,,A Feather So Black,iPhone,,Fairyloot Special Edition ,books,"Forest City, NC",35.334,81.8651,Megan Morrow,,Image;StillImage,image/jpeg,eng,Private (Since it is my books),
morrow05,,,,The Teller of Small Fortunes,iPhone,,Fairyloot Special Edition ,books,"Forest City, NC",35.334,81.8651,Megan Morrow,,Image;StillImage,image/jpeg,eng,Private (Since it is my books),
morrow06,,,,The Starlight Heir,iPhone,,Fairyloot Special Edition ,books,"Forest City, NC",35.334,81.8651,Megan Morrow,,Image;StillImage,image/jpeg,eng,Private (Since it is my books),
morrow07,,,,Iron & Embers,iPhone,,Fairyloot Special Edition ,books,"Forest City, NC",35.334,81.8651,Megan Morrow,,Image;StillImage,image/jpeg,eng,Private (Since it is my books),
morrow08,,,,The Wren in the Holly Library,iPhone,,Fairyloot Special Edition ,books,"Forest City, NC",35.334,81.8651,Megan Morrow,,Image;StillImage,image/jpeg,eng,Private (Since it is my books),
morrow10,,,,The Half King,iPhone,,Fairyloot Special Edition ,books,"Forest City, NC",35.334,81.8651,Megan Morrow,,Image;StillImage,image/jpeg,eng,Private (Since it is my books),
morrow11,,,,Firebird,iPhone,,Fairyloot Special Edition ,books,"Forest City, NC",35.334,81.8651,Megan Morrow,,Image;StillImage,image/jpeg,eng,Private (Since it is my books),
morrow12,,,,Inked in Blood,iPhone,,Fairyloot Special Edition ,books,"Forest City, NC",35.334,81.8651,Megan Morrow,,Image;StillImage,image/jpeg,eng,Private (Since it is my books),
